TEXT,ID
яблоки,18
восемьнадцать,18
бананы,24
двадцать четыре,24
лимоны,25
двадцать пять,25
баклажан,34
тридцать четыре,34
капуста,36
тридцать шесть,36
помидоры,40
сорок,40
морковь,51
пятьдесят один,51
огурцы,52
пятьдесят два,52
апельсины,53
пятьдесят три,53
чеснок,54
пятьдесят четыре,54
имбирь,55
пятьдесят пять,55
перец желтый,56
пятьдесят шесть,56
конфеты ромашка,57
пятьдесят семь,57
черешня,58
пятьдесят восемь,58
кабачки,59
пятьдесят девять,59
абрикосы,60
шестьдесят,60
лук репчатый,61
шестьдесят один,61
картофель,62
шестьдесят два,62
